,query_id,query_text,category,target_person_id,difficulty
13208,query_16292,"Candidate for a managing partner role, strong in professional, organized, and project management and educated in bachelor's in industrial engineering.",OTHER,16292,standard
4440,query_5405,"Looking for a front end developer with html (6 years), css3 (6 years), and sass (4 years) and a background in bs in interactive development and design.",FE,5405,standard
35,query_42,"Looking for a database administrator with database, sql server, and replication and associate of arts in early childhood development in education and certificates plus a proven track record of delivering complex projects on time.",DBA,42,hard
12791,query_15802,"Candidate for a engineering intern role, strong in cisco devices, ospf, and bgp and educated in master's in information systems.",BE,15802,standard
7598,query_8987,"Candidate for a freelance consultant webiste development role, strong in marketing, b2b, and social media strategy and educated in b.s. in business administration.",OTHER,8987,standard
4674,query_5693,"Looking for a front end developer with java 1.6, jsp, and spring and a background in master of engineering in computer science.",FE,5693,standard
13479,query_16620,"Looking for a south division system administrator with cisco routers and switches, symantec endpoint, and system admin and a background in associate in network administration.",NETSEC,16620,standard
9454,query_11100,"it senior lead auditor experienced in teammate auditing software, audit management program (amp), and audit command language (acl) and holding ms accounting in accounting.",OTHER,11100,standard
3351,query_4097,"Looking for a designer with front-end web development, web, and app design and a background in bachelor of science in (b.s.).",OTHER,4097,standard
4230,query_5161,"Looking for a freelance with html, css, and javascript and a background in master's in information assurance and security.",OTHER,5161,standard
9161,query_10771,"Candidate for a financial security analyst role, strong in identify potential fraud risks, correct and fix risks, and prepare audit data and educated in business administration.",NETSEC,10771,standard
6211,query_7475,"it manager who can work with cisco, remedy, and tcp, holds bachelor of science, and has a proven track record of delivering complex projects on time.",OTHER,7475,hard
8134,query_9593,"it security analyst experienced in threat analysis, incident response, and network surveillance and holding bachelors in computer science in certified authorization professional cap.",NETSEC,9593,standard
9282,query_10908,"Looking for a mid-level business with agile, requirements gathering, and test planning and a background in bachelor of science in hr management.",OTHER,10908,standard
14308,query_17699,"software engineer experienced in python 3, node.js, and mysql and holding master's in wes' institution.",BE,17699,standard
5672,query_6880,"Candidate for a director it infrastructure and security role, strong in it infrastructure, business continuity & disaster recovery, and it strategy & budget planning and educated in masters of science in information management.",OTHER,6880,standard
9633,query_11297,"Looking for a it security analyst with scripting on python and powershell, workstations and servers compliancy with up to date principle and practices, and monthly and a background in bachelor engineering.",NETSEC,11297,standard
4212,query_5138,"Looking for a strategy associate with strategic firm-wide technology initiatives, cloud, and cybersecurity and a background in bachelor of business administration in management information systems.",OTHER,5138,standard
1238,query_1484,"Candidate for a security architect role, strong in database, databases, and oracle and educated in bachelor's in computer science.",OTHER,1484,standard
2874,query_3475,"Looking for a front end developer with javascript, backbone, and react and a background in engineer of printing technology.",FE,3475,standard
3365,query_4113,"Candidate for a web application architect role, strong in vuejs, front end, and ui and educated in bachelors of fine arts in fine arts.",OTHER,4113,standard
9972,query_11655,"Looking for a self-employed with technical assistance, product insights, and financial consulting and a background in bachelor of science in information management and technology.",OTHER,11655,standard
13867,query_17103,"sr. network administrator experienced in cisco, juniper, and networking and holding associates of arts in business administration.",NETSEC,17103,standard
4142,query_5037,"Candidate for a sr. web developer role, strong in javascript, html5, and css3 and educated in b.s. in computer science.",BE,5037,standard
10012,query_11697,"it security engineer experienced in network infrastructure support, security plan review and editing, and it security and risk management guidance and holding bachelor of science in business administration.",NETSEC,11697,standard
12417,query_15335,"Looking for a network administrator with designs, specifies, and configures and a background in b.s. in computer science.",NETSEC,15335,standard
722,query_852,"Looking for a database administrator with managing and running database for real estate office, rentals and sales database, and employees' database and bachelor of computer information system in computer science and computer information system plus strong communication skills and a focus on continuous improvement.",DBA,852,hard
5519,query_6714,"Candidate for a senior technical program manager role, strong in sdlc, pmp, and waterfall and educated in bachelor's in music and digital media.",PM,6714,standard
7613,query_9002,"Looking for a it project manager & scrum master with agile scrum, scrum master, and scrum and project management certificate plus the ability to mentor junior staff and document processes clearly.",PM,9002,hard
3215,query_3903,"Candidate for a front-end developer role, strong in html5, jsp, and jstl and educated in bachelor of arts in english.",FE,3903,standard
12819,query_15832,"Looking for a sr. network engineer with network engineering, network security, and it security and a background in bs in information systems.",NETSEC,15832,standard
14105,query_17398,"Candidate for a senior systems administrator role, strong in active directory, anti-spam, and cisco and educated in mba in information systems.",NETSEC,17398,standard
13079,query_16143,"Candidate for a lead network administrator role, strong in active directory, networking, and technical support and educated in bachelor's in computer networks and cybersecurity.",NETSEC,16143,standard
8241,query_9718,"Looking for a descriptive analytics developer with excel, tableau, and qlikview and a background in b.s in management information systems.",BE,9718,standard
9486,query_11135,"Looking for a consultant security and complance with pci compliance, cis benchmark scans, and owasp top 10 web application scans and a background in bachelor of science in computer science.",OTHER,11135,standard
2427,query_2889,"Looking for a database analyst princ with database, oracle, and sql and a background in bsn.",OTHER,2889,standard
966,query_1160,"Looking for a dba engineer with conducted review of existing smops, developed scripts to collect the distributed database systems configuration, and created service method of procedures (smops) for infrastructure changes and a background in master's degree in computer applications.",DBA,1160,standard
11074,query_13560,"sr java developer experienced in spring webflow, primefaces, and jsf and holding bachelor of science in business information systems.",BE,13560,standard
3964,query_4822,"senior front end developer experienced in html5, xml, and xsl and holding bachelor of arts in website design.",FE,4822,standard
11309,query_13872,"Looking for a java developer with java, hibernate, and javascript and master's in computer science plus the ability to mentor junior staff and document processes clearly.",BE,13872,hard
5459,query_6646,"Candidate for a us lead solutions architect\sr. customer support engineer role, strong in provide best practices for archive migrations using fastcollect for archive, create deployment plans for archive2azure projects, and support project management in technical discussions and educated in a.a.s in information technology in systems engineering.",BE,6646,standard
10750,query_12901,"sr. java developer experienced in java, ruby, and python and holding master of science in science and engineering.",BE,12901,standard
13650,query_16836,Looking for a network administrator with network and a background in mechatronical enginnering.,NETSEC,16836,standard
3361,query_4107,"front end web developer experienced in css, html, and javascript and holding english.",FE,4107,standard
5586,query_6787,"Looking for a administrative office manager (contract position) with provide key support for nyc metro division, critical data entry for metrics systems via bp logix and intranet links, and cover member reception desk use crm software qlikview to facilitate members meetings with supervisors and a background in bachelor of arts in spanish in art history.",OTHER,6787,standard
13656,query_16842,"Senior network administrator with servers administration, active directory, and network security, educated in bsc, and experience working in agile teams and cross-functional projects.",NETSEC,16842,hard
7054,query_8406,"junior it project manager experienced in crm, erp, and pdm and holding bachelor's in information science and technology.",PM,8406,standard
5766,query_6984,"Senior it site manager with collaboration, organizational skills, and it initiatives, educated in master of science in management of information systems, and strong communication skills and a focus on continuous improvement.",OTHER,6984,hard
6093,query_7338,"Looking for a project manager contractor with project management, ehrm - electronic health record modernization, and cloud implementations and a background in bachelor of arts in (ba) education.",PM,7338,standard
7204,query_8566,"membership service representative who can work with coordinate meetings, appointments, and reservations, holds bachelor of science degree in business administration in political science and economics, and has experience working in agile teams and cross-functional projects.",OTHER,8566,hard
8725,query_10279,"it security analyst who can work with hipaa, hitech, and protected health information (phi), holds master of science degree in computer science, and has the ability to mentor junior staff and document processes clearly.",NETSEC,10279,hard
1170,query_1406,"Looking for a information assurance engineer manager with scan software for vulnerabilities analysis, technical documentation related to nist sp 800-53 rev 4 and risk management framework (rmf), and continuous monitoring and a background in m.b.a. in computer information systems and science.",BE,1406,standard
10309,query_12022,"security officer who can work with follow protocols, document procedures, and engage escalation protocols, holds diploma, and has the ability to mentor junior staff and document processes clearly.",OTHER,12022,hard
11474,query_14101,"Candidate for a java developer role, strong in java, j2ee, and collections framework and educated in be in electrical and electronics.",BE,14101,standard
357,query_430,"Looking for a database specialist ii with sql server, database troubleshooting, and scripting and a background in bachelor of science in information technology.",OTHER,430,standard
